Opportunity ID,Business Account,Status,Stage,Estimated amount,Amount received,Difference,Class ID,Class,Programme financé
2063,C03037,Won,Won,1000.0,1000.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2062,C00230,Won,Won,24.59,24.59,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2061,C00230,Won,Won,500.0,500.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2060,C00230,Won,Won,500.0,500.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2059,C03036,Won,Won,1500.0,1500.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2058,C00343,Won,Won,7639.0,7639.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2057,C00854,Won,Won,832.2,832.2,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2056,C02147,Won,Won,602.62,602.62,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2055,C02145,Won,Won,3948.68,3948.68,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2054,C00659,Won,Won,2497.52,2497.52,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2053,C01296,Won,Won,627.74,627.74,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2052,C01296,Won,Won,1005.49,1005.49,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2051,C01098,Won,Won,422.0,422.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2050,C01098,Won,Won,755.0,755.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2049,C01098,Won,Won,1823.0,1823.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2048,C01098,Won,Won,2000.0,2000.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2047,C01296,Won,Won,1199.08,1199.08,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2046,C01055,Won,Won,5833.33,5833.33,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2045,C00397,Won,Won,6000.0,6000.0,0.0,PPRIV MEC,Private partnership - Patronage,Entrepreneurs dans la Ville
2044,C01204,New,Won,195000.0,60000.0,-135000.0,PPUB,Public partnership,Non fléché
2043,C01453,New,Won,82000.0,49999.0,-32001.0,PPUB,Public partnership,Non fléché
2042,C01453,New,Won,26000.0,0.0,-26000.0,PPUB,Public partnership,Non fléché
2041,C01453,New,Won,220000.0,50000.0,-170000.0,PPUB,Public partnership,Non fléché
2040,C01323,Won,Won,874.8,1112.4,237.6,CAMP SAL,Campus - Room,
2039,C00633,Won,Won,5550.0,5550.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2038,C02264,Won,Won,386.0,386.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2037,C00366,Won,Won,1866.56,1866.56,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2036,C01982,Won,Won,1200.0,1200.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2035,C00149,Won,Won,1500.0,1500.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2034,C00813,Won,Won,35000.0,35000.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2033,C00985,Won,Won,1439.0,1439.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2032,C00384,Won,Won,500.0,500.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2031,C01189,Won,Won,12000.0,12000.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
2030,C01418,Won,Won,0.0,0.0,0.0,PPRIV DONN,Private partnership - Donation in kind,Non fléché
2029,C00408,New,Won,1320.34,0.0,-1320.34,PPRIV DONN,Private partnership - Donation in kind,Non fléché
2028,C00463,New,Won,4500.0,0.0,-4500.0,PPRIV MEC,Private partnership - Patronage,Non fléché
2027,C00416,New,Won,1500.0,0.0,-1500.0,PPRIV MEC,Private partnership - Patronage,Non fléché
2026,C00740,Won,Won,2664.0,2664.0,0.0,PPRIV MEC,Private partnership - Patronage,Non fléché
